"Year","name","Country.Code","AverageAnnualTemperature","Lo 80","Hi 80","Lo 95","Hi 95","Continent"
1996,"Canada","CAN",4.75447333333333,NA,NA,NA,NA,"Americas"
1997,"Canada","CAN",5.37232666666667,NA,NA,NA,NA,"Americas"
1998,"Canada","CAN",7.24867666666667,NA,NA,NA,NA,"Americas"
1999,"Canada","CAN",6.68276333333333,NA,NA,NA,NA,"Americas"
2000,"Canada","CAN",5.59264,NA,NA,NA,NA,"Americas"
2001,"Canada","CAN",6.64135666666667,NA,NA,NA,NA,"Americas"
2002,"Canada","CAN",6.09169,NA,NA,NA,NA,"Americas"
2003,"Canada","CAN",5.52538,NA,NA,NA,NA,"Americas"
2004,"Canada","CAN",5.66587,NA,NA,NA,NA,"Americas"
2005,"Canada","CAN",6.31496666666667,NA,NA,NA,NA,"Americas"
2006,"Canada","CAN",6.93463666666667,NA,NA,NA,NA,"Americas"
2007,"Canada","CAN",5.93040333333333,NA,NA,NA,NA,"Americas"
2008,"Canada","CAN",5.60093,NA,NA,NA,NA,"Americas"
2009,"Canada","CAN",5.40289333333333,NA,NA,NA,NA,"Americas"
2010,"Canada","CAN",6.77697666666667,NA,NA,NA,NA,"Americas"
2011,"Canada","CAN",6.23093,NA,NA,NA,NA,"Americas"
2012,"Canada","CAN",7.10452666666667,NA,NA,NA,NA,"Americas"
1990,"Switzerland","CHE",8.8136,NA,NA,NA,NA,"Europe"
1991,"Switzerland","CHE",7.9863,NA,NA,NA,NA,"Europe"
1992,"Switzerland","CHE",8.57475,NA,NA,NA,NA,"Europe"
1993,"Switzerland","CHE",8.11253333333333,NA,NA,NA,NA,"Europe"
1994,"Switzerland","CHE",9.44463333333333,NA,NA,NA,NA,"Europe"
1995,"Switzerland","CHE",8.40923333333333,NA,NA,NA,NA,"Europe"
1996,"Switzerland","CHE",7.49975,NA,NA,NA,NA,"Europe"
1997,"Switzerland","CHE",8.77906666666667,NA,NA,NA,NA,"Europe"
1998,"Switzerland","CHE",8.46988333333333,NA,NA,NA,NA,"Europe"
1999,"Switzerland","CHE",8.4748,NA,NA,NA,NA,"Europe"
2000,"Switzerland","CHE",9.12415,NA,NA,NA,NA,"Europe"
2001,"Switzerland","CHE",8.5219,NA,NA,NA,NA,"Europe"
2002,"Switzerland","CHE",9.0317,NA,NA,NA,NA,"Europe"
2003,"Switzerland","CHE",9.24438333333333,NA,NA,NA,NA,"Europe"
2004,"Switzerland","CHE",8.38173333333333,NA,NA,NA,NA,"Europe"
2005,"Switzerland","CHE",8.1555,NA,NA,NA,NA,"Europe"
2006,"Switzerland","CHE",8.93181666666667,NA,NA,NA,NA,"Europe"
2007,"Switzerland","CHE",9.00211666666667,NA,NA,NA,NA,"Europe"
2008,"Switzerland","CHE",8.56905,NA,NA,NA,NA,"Europe"
2009,"Switzerland","CHE",8.89621666666667,NA,NA,NA,NA,"Europe"
2010,"Switzerland","CHE",7.77616666666667,NA,NA,NA,NA,"Europe"
2011,"Switzerland","CHE",9.37718333333333,NA,NA,NA,NA,"Europe"
2012,"Switzerland","CHE",8.6466,NA,NA,NA,NA,"Europe"
1990,"Chile","CHL",12.0910347222222,NA,NA,NA,NA,"Americas"
1991,"Chile","CHL",12.2400694444444,NA,NA,NA,NA,"Americas"
1992,"Chile","CHL",12.1494097222222,NA,NA,NA,NA,"Americas"
1993,"Chile","CHL",12.3190625,NA,NA,NA,NA,"Americas"
1994,"Chile","CHL",12.5531909722222,NA,NA,NA,NA,"Americas"
1995,"Chile","CHL",12.2526770833333,NA,NA,NA,NA,"Americas"
1996,"Chile","CHL",12.1563159722222,NA,NA,NA,NA,"Americas"
1997,"Chile","CHL",12.92378125,NA,NA,NA,NA,"Americas"
1998,"Chile","CHL",12.4698020833333,NA,NA,NA,NA,"Americas"
1999,"Chile","CHL",12.1497777777778,NA,NA,NA,NA,"Americas"
2000,"Chile","CHL",12.0392083333333,NA,NA,NA,NA,"Americas"
2001,"Chile","CHL",12.3317430555556,NA,NA,NA,NA,"Americas"
2002,"Chile","CHL",12.2291805555556,NA,NA,NA,NA,"Americas"
2003,"Chile","CHL",12.4741944444444,NA,NA,NA,NA,"Americas"
